,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,🌙,第一,1,18,0,6742403814290596957
0,,一晔知秋来磕了,5,16,18,6742404410493139521
0,,吉林孙新浩,4,17,3,6742404443036384900
0,white star,5,0,17,0,6742404584293206649
0,,  来了来了,0,17,3,6742404785132204117
0,,来了,0,17,1,6742404834894785014
0,1,就喜欢你们这么不准时,0,17,4,6742404752510226882
0,,鹅不准时,2,18,9,6742405591085854351
0,,来了来了,0,16,2,6742405603911997142
0,qyyyyy,早五分钟,2,18,0,6742406346773611893
0,顺为凡！逆为仙！,来了来了  的哒哒哒哒哒哒多,3,15,18,6742407422124683547
0,柠檬,我来打卡了,3,19,4,6742407631903854172
0,Jing   Wu🐼🐒,来呀,0,18,0,6742408085941453156
0,L,  来啦来啦,0,15,2,6742408154992591395
0,泊舟隐君,来了老弟,0,15,0,6742408323473589090
0,阿飞,深深我来看你啦,3,18,5,6742408845923122037
0,,退剧了,0,19,2,6742410221524808953
0,,看我的,0,16,1,6742410463784968226
0,,准时报道,0,18,0,6742410901716443903
0,, 来了来了会员先来,0,17,3,6742411366436939314
0,,爷爷来了,0,15,1,6742412627776042392
0,,冲冲冲,0,16,1,6742414098996645022
0,,来啦来啦,0,18,2,6742414984551625627
0,,丁辉加油！,0,18,0,6742415175472149780
0,,来了来啦 隔壁换脸过来的,0,16,1,6742416088567921453
0,,我的辉辉还好吗,4,16,2,6742417018630373928
0,,来看深深,0,19,3,6742418598934363688
0,,我来了。兄弟们,0,17,0,6742421495592022969
0,久违的黯淡,丁辉淘汰了呜呜呜,0,17,1,6742421812539794296
0,我是流星我很忙，你有愿望我帮忙!,哇！好早19:49,0,19,2,6742426331541609784
0,,周深！！！！！,0,16,0,6742449460052785576
0,csy,打卡,0,19,0,6742579135722845861
0,,第一，深深我来了,0,15,1,6742468255644326964
0,,舍不得丁辉,0,16,0,6742649598830116170
0,,丁辉丁辉！！！,0,15,0,6742706586490434352
0,,加油呀，辉哥,0,15,0,6742418548133964773
0,,第一！深深我来啦,0,15,0,6742755455661485776
0,,来了来了我的秋怡！,0,19,0,6743028215409996354
0,,喜欢不准时,0,19,0,6743057252660835134
0,,凭什么,0,19,0,6743178645671708450
0,Sarah yan,第一,4,6,1,6742404037888952244
0,Pizazz,就喜欢你们这么不准时,0,6,15,6742404045161564039
0,,第一个,4,9,14,6742404072617745952
0,Final Chapter.,来了来了！,5,7,19,6742404188236610835
0,Hilary,第一！深深我来啦,0,7,8,6742404309859895543
0,,哇！好早19:49,0,9,13,6742404893722734842
0,,2020年12月9日19:48:33,0,7,6,6742404559366457942
0,,啦啦啦,1,8,1,6742405571007682206
0,,来了,5,8,1,6742405691710043598
0,J,来喽,0,6,0,6742405707704244079
0,,来了来了来了来了来了,0,8,11,6742405850415472657
0,🌟Lemontea💦,就喜欢不准时,2,8,1,6742405881485522674
0,九千七  丶,来啦,0,8,1,6742406072067627449
0,,  来啦来啦,0,8,2,6742406863187541335
0,,来了来了,0,7,0,6742407126267923127
0,,深深我来了,0,7,1,6742407877353815929
0,tough girl,范丞丞哈哈,0,8,3,6742408862886241466
0,,没人么？？？,0,6,3,6742409114821314856
0,,来了来了！！！！,0,7,1,6742409728586355501
0,,来了来了来了滴一滴一滴,0,8,1,6742409761629082471
0,,大家都是会员，说话嚣张一点,0,9,7,6742410404288769977
0,,来早了吗,0,9,4,6742411768351623953
0,,时长好评,0,6,4,6742417806631313155
0,,噜啦噜啦嘞来了来了,4,5,15,6742423309952467183
0,,哈哈,0,6,0,6742441105671309598
0,,d,0,7,1,6742443274594876530
0,,为丁辉而来,0,7,1,6742445698534806199
0,,。,0,5,0,6742449905820224541
0,,可惜了,0,6,1,6742471426689189696
0,B ty,我爱坤坤,0,9,0,6742649962288892324
0,,，,0,5,0,6742652613399397822
0,薛,不忍心看！！！,0,9,2,6742451173783444301
0,,辉哥，我来了,0,9,0,6742664469282323882
0,,闫志莉快来看看,0,6,0,6742426610730994021
0,[南极豆腐],哦哦,0,5,2,6742763480245801933
0,往事随风,打卡,0,5,0,6742986250577713579
0,,挺好,0,9,0,6743094506162762401
0,,太爱周末了有这么多综艺追,0,5,3,6743591724615137683
0,,辉辉呜呜呜,0,5,1,6743525298748724893
0,结梦与洋,啊,0,5,0,6744552775403159559
0,A1🚹 身材走样个二师兄,谁比我早,5,11,10,6742403890004818762
0,,第一第一,2,12,8,6742405549780309630
0,,🪡不戳,2,10,2,6742406254989648542
0,,提前啦,6,13,5,6742406288957962616
0,星空,来了 来了 ,3,14,7,6742406585005573867
0,2020活着就行,？？？提前了,0,10,6,6742407093187447427
0,かおるん,来了秋怡！！,0,10,2,6742407317984673014
0,,前排来了,0,13,9,6742407263454162971
0,小吴。,第一次前排,0,13,5,6742406803323594357
0,,范丞丞我来看你了,0,10,3,6742408332352930680
0,实在想不出名字,7点58分,2,12,3,6742407031072947822
0,,来了来了！,0,13,2,6742408486636209324
0,,终于开播了,0,11,1,6742408699495774811
0,,我来啦！！！！,0,14,3,6742409595802106920
0,,我来啦，八点十二,0,14,5,6742410676935001005
0,Moridioteslress,哈喽张灵悦！！！,0,11,5,6742411576416078292
0,,打卡丞丞,0,14,0,6742411652543007419
0,黑白灰,这时长真长[厉害][厉害][厉害][厉害][螃蟹],0,10,7,6742413384593114746
0,,来了来了！！！！,0,11,1,6742413889503733913
0,小林先生,这个时长很耐斯呀,0,14,0,6742415823400536310
0,,  来啦来啦,7,12,2,6742417717656222760
0,,深深我来了,0,12,1,6742420229855575687
0,,周二？,0,14,1,6742420672111721777
0,,时长感人,0,11,0,6742422536497646432
0,婷婷,深深宝贝,0,11,4,6742425850462368649
0,,111,0,13,0,6742427756019253733
0,子非鱼,一叶知秋！,0,13,3,6742433679378251400
0,,。,0,12,0,6742435829555637316
0,,老婆,0,11,0,6742442037158113376
0,,时长好评,0,11,1,6742446157667528865
0,💋     影子。,我来啦浅浅,5,14,0,6742447855032052314
0,卞苍,丁辉冲鸭,0,14,0,6742448457090838286
0,,啊啊啊,0,13,1,6742459518401582700
0,karry,呜呜呜呜,0,10,0,6742632564999572553
0,,噜啦噜啦嘞来了来了,0,12,0,6742640439436188875
0,,丁辉被淘汰了吗？,0,10,0,6742419156567077467
0,,讨厌两个新人，都极其自恋,0,12,4,6742758913150743608
0,,丁辉冲啊,0,12,0,6742781750738927993
0,,1,0,10,0,6742845879994489970
0,,，，，，，，,0,13,0,6743232703724242306
0,yesterday,鹅又不准时了，很好,3,29,11,6742403919167814517
0,白木闲生,我是不是第一,3,28,5,6742404059007229450
0,,第一,6,27,2,6742404287029606800
0,,来了,0,27,0,6742404770583521708
0,,就喜欢腾讯的不准时,0,28,5,6742406577777736549
0,,来啦，这么早更新了,0,28,2,6742407119825735891
0,史志刚,第一啦哈哈哈,0,27,8,6742407619409333849
0,,不想他们走,2,25,7,6742408093364679295
0,,丁辉聪啊,0,29,0,6742408552482544311
0,,不好意思迟到了,0,25,2,6742416168193297371
0,,王俊凯好帅啊 天,0,28,6,6742416736052035745
0,,就喜欢你们这么不准时,0,25,1,6742419166974156909
0,,美女,0,27,0,6742421497346236763
0,我是流星我很忙，你有愿望我帮忙!,我来打卡了,4,26,1,6742426359735764728
0,,(｡˘•㉨•˘｡)心疼..,0,29,2,6742427743313997878
0,,都是VIP 嚣张点,0,26,4,6742431922225922436
0,,来啦来啦,0,26,1,6742441773492276759
0,～forget~,意难平,0,27,4,6742441750338662527
0,,姜小姐,0,25,0,6742444075522388669
0,,终于来啦，喜欢,0,25,0,6742444036994831795
0,,23:15,0,28,0,6742456734205546181
0,浪潮,谁被淘汰了,0,26,1,6742457305440693994
0,,丞,0,25,0,6742609481113468541
0,,来了来了我的秋怡！,0,29,2,6742610133027113612
0,,，,0,28,0,6742636583788718401
0,禁你,深深呀,0,29,0,6742638520528564343
0,,令人心碎💔的offer,0,28,1,6742654519806990124
0,,范丞丞范丞丞,0,29,0,6742729342171248628
0,, 来了来了会员先来,0,28,0,6742649512759163357
0, 心心心,来追周深的节目了！加油团实习生加油！,0,29,0,6742776780304130999
0,途徑山楂樹.🎋,我的辉辉还好吗,0,25,1,6742810680984325912
0,, 丁辉，希望你越来越好,0,27,3,6742855927051307792
0,邮见🌙,我来了 范老板,0,26,0,6743003795129048433
0,,丁辉冲冲冲,0,26,0,6743264110991362629
0,,辉哥，我来了,0,25,0,6743536850418806988
0,,来了老弟,5,2,7,6742403898909668905
0,,范老板我来了,3,0,8,6742404745513172025
0,孟两啊,来了！,0,0,14,6742405212327317007
0,,就喜欢腾讯的不准时！！！,5,0,27,6742405396145828840
0,阿乔,从你好生活过来的,0,0,5,6742405556494417839
0,……,11111,0,2,5,6742405451335536544
0,小陈小陈👻,来了！！！前排！！！,0,0,6,6742405525616656403
0,,更新啦叶明凯,0,0,2,6742405937424955206
0,,史律，我来了，我爱你,0,0,3,6742405896086946436
0,,早了几分钟哦,0,0,2,6742406077977445318
0,伊人,范丞丞我来看你了,1,4,9,6742406403525719303
0,,开心🥳,0,2,2,6742406415412376862
0,,加油呀，辉哥,4,3,7,6742409034088348030
0,XQ💎 💖,来了，啊啊啊,0,4,5,6742409546481994723
0,,周深我来啦！！！,0,2,7,6742410822918063376
0, 心心心,周深，我来了！,0,3,12,6742417341541450946
0,,听说丁辉淘汰了😭😭😭,0,3,4,6742438530804548883
0,chérie🐾,一,0,3,0,6742582841416289748
0,,是,0,4,0,6742486492183199389
0,,好可惜,4,1,3,6742476027891002740
0,,热搜来的,0,4,4,6742470667213670041
0,,我来了,0,3,0,6742654215296364352
0,无问西东,不喜欢第二季君合律所自大又傲慢法律人不是这样的,0,4,3,6742633868437238680
0,,最喜欢的两位辉哥，小瞿想，我又在看了一遍，哭死我了,0,2,3,6742760006110870198
0,宁,。。。,0,2,0,6742781124230543546
0,,走了,0,3,0,6742841930944072195
0,,哈哈哈哈哈哈,0,1,3,6742903390674809191
0,,睡觉觉,0,1,1,6742954956418436226
0,,拜拜,0,4,0,6743025749135131040
0,,我,0,4,0,6743014745815062055
0,,来了！！！！,0,3,0,6743145973297958498
0,朱苗苗,丞丞的综艺定跟,0,4,0,6744125536458014604
0,王娟,加油,0,2,0,6744639766844176482
0,,每次都是 丁辉做的很好  但是我们不选他,0,2,0,6746291848831595533
0,YYYYYYue,❤️,0,1,0,6746422469734893734
0,Old Time,这么早？,2,23,4,6742404783661058983
0,,哇！！！提前更新了，鹅厂给力,5,20,14,6742406637056177840
0,,谁无了,2,21,8,6742406777288538054
0,,  来了来了,0,21,6,6742407878154940643
0,,前排前排,0,21,3,6742408063371903300
0,,来了秋怡！！,0,20,5,6742408865432183999
0,,啊来啦来啦真好哈哈哈哈哈哈哈哈哈哈哈哈,2,24,27,6742408987384413306
0,,打卡,0,21,1,6742414308846015436
0,,金冰洁金冰洁金冰洁,0,21,0,6742416023687244078
0,MJ～,来了来了,0,23,2,6742418552004296138
0,,深深我来了,2,20,0,6742420012653542665
0,陌上人小锋,来啦 追追追！！！！,0,20,0,6742424444422600629
