,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,就喜欢不准时,4,11,9,6732257075326548212
0,,第一个,4,10,14,6732257195436000454
0,Lau,第一,0,10,0,6732257253912986902
0,Final Chapter.,第一！,5,12,9,6732257363295223708
0,,这么不准时？,0,11,24,6732257377548477733
0,,提早了哈哈哈,0,10,6,6732259137120925631
0,,腾讯综艺的时长太感人了,0,12,9,6732259826267038516
0,文鑫,就喜欢腾讯不准时,4,14,19,6732260465305648139
0,,来了来了,4,13,7,6732260916295354783
0,,第一第一，深深我来啦,0,10,17,6732260922758777256
0,,来啦,0,12,0,6732260767505592945
0,,爷来啦,0,14,8,6732260942123565730
0,,啊啊啊啊啊啊啊啊啊啊啊啊啊来了,0,14,10,6732260541286827908
0,,喜欢,0,13,5,6732260520445018181
0,Former,前,0,10,1,6732260401686786168
0,,啊啊啊啊啊啊啊,0,10,1,6732261767277686262
0,脑袋困掉了,来了来了，爱了这个时长,0,12,12,6732260082429925341
0,🌻阿泰,加油jkt,0,14,3,6732261777099732960
0,宫崎骏的夏天🍒💙,啊啊啊啊 我来了,4,11,7,6732261803436789421
0,,[无羡]嘿嘿,0,14,0,6732259981666010224
0,,p h,0,11,0,6732259700773161955
0,A爆fashion女装👚专卖,范丞丞加油,0,10,3,6732262728092074928
0,,来了,0,13,1,6732261424862791008
0,,来了来了打卡,0,12,3,6732266727784252409
0,,来了来了，,0,11,2,6732267153262130836
0,抱起深深就跑,深深宝贝我来啦～,0,13,15,6732266376465459304
0,,神仙时长,0,14,0,6732265721918852599
0,,冲,0,14,0,6732279426711005142
0,,来了来了打卡,0,14,0,6732293599049301498
0,🍐,范丞丞加油！！！,0,13,14,6732297396254395334
0,,为什么不换个行业，换个投行也行,0,10,1,6732294581087873226
0,,时长感人！！！！,0,11,0,6732302616760972396
0,,打卡打卡打卡,0,13,3,6732292372362888554
0,,这个时长我爱了,0,13,4,6732290975332811117
0,,时长感人啊！,0,13,2,6732288169754472284
0,^o^,时长我爱了,0,11,1,6732275867210719675
0,,打卡第二季,0,11,0,6732272996884914334
0,Robin,这个时长我爱了爱了,0,12,5,6732678171705416881
0,,手,0,12,0,6732792515708599469
0,,47，第一来了,0,12,0,6733225363490936756
0,,这时长爱了,4,25,7,6732257679894881981
0,,来了来了来了来了来了来了,1,25,15,6732257799679012865
0,,时长爱了,0,25,0,6732258100473508816
0,Liu-,第十,5,26,1,6732258879449010424
0,,提前 爱了爱了,0,25,6,6732258918140507761
0,沅,腾讯大爱不准时呀,0,25,2,6732258798788350072
0,,周深周深！！,4,27,27,6732260868836760642
0,,来了来了！,0,26,11,6732261136726993560
0,灼华,来啦,0,25,0,6732260948174896813
0,快乐肥仔,第一,0,25,0,6732261058469364536
0,,啊啊啊啊啊,0,26,5,6732261833979702877
0,,111111,6,28,5,6732260005401532271
0,,来了来了来了来了来了来了来了冲冲冲一个星期搓手手,0,28,16,6732259926594790332
0,简单不好的,来了,0,25,0,6732259833292461697
0,,来挺早,0,27,2,6732259818024930435
0,,来啦来啦,3,26,1,6732261931673431777
0,L.,啊啊啊啊啊啊丞哥我来啦,0,28,11,6732262347454747743
0,,范丞丞我来啦,0,28,5,6732262561674666563
0,,丞丞我来了,5,27,7,6732262889006539807
0,cattleW,腾讯发短信，加我来看😃,0,28,0,6732262674061006390
0,,来了来了，会员抢先看都给我豪横点,7,29,25,6732263630479491580
0,,时长好评[厉害],0,28,0,6732263876000772623
0,💥,vip说话嚣张点！,0,27,2,6732265589306834301
0,,深深深深深深深,2,27,1,6732266097509334162
0,,有点意思,4,29,5,6732266408903193181
0,婪尾春,来喽,0,26,0,6732269959276689056
0,,第一第一,0,28,0,6732266314536524666
0,,都是vip,1,29,0,6732266175952525977
0,,来了来了,0,29,2,6732265127871187567
0,,时长好评,0,28,0,6732272342082768059
0,,深宝我来了,2,29,0,6732293117925895993
0,,周深我来啦,0,26,1,6732299353131085826
0,,时长很满意,0,26,2,6732299661794096604
0,,时长舒适,0,27,0,6732301648880182954
0,ā á ǎ à,都是vip，嚣张点,4,29,0,6732303054454330601
0,,终于播了,0,29,0,6732276423856782966
0,,来了来了 人类填数人来了,0,29,1,6732275517732925360
0,,令人自卑的offer我来啦,0,26,0,6732398037224067195
0,,。,0,27,0,6732648330637546678
0,,两小时多太好了,0,27,0,6733359257020208780
0,盐盐,啊啊啊啊,5,0,13,6732257737980443845
0,盐盐,哈哈哈哈哈,0,0,19,6732257784545968105
0,白小白,前排,0,0,26,6732257775558567764
0,,来啦第一,5,3,9,6732257787809116695
0,盐盐,我是第一个？,0,0,5,6732257829140809821
0,,第一,3,0,0,6732257939660712007
0,,灰色衣服的律师声音好像周一围啊,2,0,9,6732258014839417022
0,Y.1996-🐁,来了,0,0,0,6732258084745890225
0,,预感到鹅不会准时哈哈哈,2,0,2,6732258134367679485
0,....,丞丞我来啦,3,4,11,6732258948901172133
0,,第一，深深来了,0,3,18,6732259017772962259
0,,深深，我来啦,1,2,13,6732261185397705490
0,爱吃tofu,沙发,0,3,2,6732260592914202807
0,黑泽空麟,来啦,0,4,1,6732260429701519820
0,,11月11日19:58来了来了！,0,4,12,6732260332221435707
0,.,来啦来啦！王骁！！！,0,4,6,6732259729352441027
0,AGONY.,就喜欢你的不准时,1,1,9,6732259551401413390
0,,哇哦哇哦,0,2,5,6732263108979998545
0,,学了,0,3,3,6732264140992705428
0,cc,范丞丞,0,4,4,6732269472057586056
0,,阿掐的迎新队小白前来报道,0,4,6,6732270557342136346
0,中和众力生涯创始人,职场谋士小吴哥 来也。,0,1,3,6732286374377094212
0,明御槿,打卡,0,4,0,6732298462130879967
0,,。,0,2,1,6732306974303092625
0,何所冬暖何所夏凉,自卑的offer又来了,0,3,7,6732310782219417095
0,,额,0,4,0,6732315528050231750
0,,哈哈哈哈,0,3,2,6732316376439486064
0,小庄,小周来了,0,3,0,6732504304772914382
0,am.,范丞丞范丞丞我来啦,0,1,7,6732517283480142205
0,,。。。,0,3,2,6732508145835503690
0, 心心心,来看周深了！,0,1,7,6732601787817633769
0,,好好看啦、,3,1,3,6732714348420515697
0,,政治,0,2,0,6733213308732767437
0,,( ´▽｀),0,1,0,6734498113627036394
0,,u,0,2,0,6735955327525039845
0,,Yq,0,1,0,6735200200013921181
0,🙈 🙉 🙊,郑州井源源,0,2,0,6737687260037315725
0,,给个,0,2,0,6739934633460745582
0,ベ☆小强呐,每周必打卡致郁系节目,6,17,21,6732470067642476944
0,,终于播了,6,16,17,6732257675603804293
0,南方小亭,期待,1,18,1,6732257806154661165
0,RA9,提前可还行,2,19,12,6732258191250830413
0,坤儿,50,0,16,1,6732258324289613858
0,。,时长好评，i了i了,0,16,12,6732258607073784255
0,恍恍惚惚,前排,0,17,1,6732258663965685010
0,,飞飞冲鸭！！！,0,16,1,6732258888625174594
0,,就喜欢腾讯不守时的习惯,2,18,11,6732259557729925622
0,,来啦！,1,17,0,6732261409813933062
0,💋     影子。,来了。,0,18,5,6732261184956297993
0,up,时长舒适,0,16,3,6732260702715837785
0,可可球小敦糕,爱了时长,0,17,9,6732260515646734398
0,。,徐律 我来啦,1,15,18,6732260463478285984
0,H,深深我来啦,0,16,6,6732261715405731317
0,,都是VIP，嚣张一点,0,18,14,6732260375053668231
0,,终于等到,0,19,4,6732261806758629704
0,,19.57,0,17,0,6732259976259544066
0,骆大爷,来了！,0,18,4,6732261942217920372
0,,来啦来啦,0,16,1,6732259608363202360
0,,  时长感人,0,16,0,6732262192152253328
0,,来了老弟,0,15,8,6732262845431879487
0,,深深深深深深深,0,19,5,6732262417696801270
0,,  我要瘦,0,17,2,6732264174328672541
0,,终于来啦！,0,17,1,6732264993200739202
0,-yly-,撒撒我来了,0,15,5,6732268784578658382
0,,打卡、,0,17,0,6732269940800779908
0,歪果仁,何老师我爱你！！！！！,0,19,3,6732270511315162434
0,,时长感人,0,15,6,6732270756240571530
0,哄哄,深哥,0,19,0,6732265257878135232
0,,都是vip，嚣张点,0,18,2,6732272149798089769
0,,太爱这个时长了,0,19,2,6732278250065116097
0,淡茶百味,无,0,18,0,6732280843403279386
0,,深深~,0,18,0,6732295358527294975
0,fish,来看深深,0,19,0,6732299092149869600
0,ylmyq,[加油]来了来了,2,15,3,6732300813550685407
0,礼物盒,来了来了！,0,19,0,6732286914793547644
0,,双北毕业生，哈哈,0,15,2,6732284724824782111
0,幽谷风筝,打卡,0,15,0,6732278659107234512
0,,令人自卑的offer,0,15,0,6732467365327605685
0,,哈哈,2,22,3,6732257275228431494
0,,我还以为我是第一,2,23,14,6732258402895426445
0,,第一！,5,21,3,6732258625978870824
0,,有人有人,0,21,5,6732258950658930854
0,,这么长！,2,20,9,6732260808224917783
0,,前排,0,22,2,6732260740460379531
0,乔,第一弹,0,23,4,6732260978337186523
0,,2个半小时好评啊,0,22,20,6732260956187067060
0,,来了，好多人,5,24,14,6732260563515617606
0,,准时准点,0,20,3,6732260447865732081
0,,飞飞冲鸭！！！,0,22,12,6732260310141926973
0,,前排座椅,0,21,1,6732261801624850089
0,啊瀛小哥哥～,来了！,0,23,1,6732259993892398110
0,,第一名,0,22,4,6732259901588349849
0,,pp真漂亮,0,20,2,6732259739071652529
0,,就喜欢不准时,0,24,2,6732259516358003424
0,追迹者,爱了时长哎时长,0,20,2,6732262207629271137
0,是你的土豆吗,来看深深了,0,24,10,6732262659601922187
0,,这时长,0,23,1,6732264948602440054
0,cc,表白一下加油团的范丞丞[厉害],0,20,3,6732269694150177555
0,,两个半小时卧槽,0,20,0,6732270752215056981
0,@欣#辰,徐律 我来啦,0,21,10,6732271015477935373
0,,腾讯综艺的时长太感人了,0,20,0,6732277577673067750
0,,啊啊啊啊啊啊啊啊啊啊啊啊啊来了,0,22,3,6732289719864067201
0,,深深，我来了,0,20,0,6732294640626018583
0,dj98dx,深深，爸爸来了,0,21,2,6732297988112625460
0,ELEGIMOSLA,都是VIP  嚣张点,0,23,0,6732305074124951936
0,,期待,0,21,0,6732290482686643735
0,L,两个半小时！！！！！周深周深周深,0,23,3,6732286181893413033
0,,深深我来了,0,21,1,6732283995411126890
0,呼啦啦~~,时常感人,0,24,1,6732279453998842672
0,,这时长爱了爱了,0,23,0,6732278216712983983
0,,爷来啦,0,23,0,6732412131897492186
0,,丞丞加油，冲鸭,0,24,0,6732449030087052611
0,小宇宙,整齐,0,21,0,6732484180510747620
0,,爱了时长,0,24,0,6732516665062881625
0,,时长好评，i了i了,0,22,0,6732609758047968778
0,Y.,时长可以,0,22,1,6732611409366467625
0,,范丞丞,0,24,0,6739833170243865013
0,,每周必打卡致郁系节目,0,24,0,6740646497513310622
0,,47，第一来了,4,5,23,6732257356663683716
0,,哈哈哈，我还以为我是第一个呢,1,7,32,6732257548063721157
0,,YEYEYEY,2,8,16,6732257672952315722
0,,来了来了，,6,6,18,6732258003787425962
0,,来了来了,0,8,2,6732258673319944104
0,,来咯,0,5,4,6732258885488543573
0,熙崽是神仙,第一！,0,7,9,6732260786762655893
0,海纳百川,准时,0,8,0,6732260747070602649
0,,第一第一,0,5,7,6732261247196580731
0,,[加油]来了来了,3,9,18,6732260613247139022
0,,提前一分钟,0,9,7,6732260507245812289
0,,时长很感动,0,9,8,6732260518858882901
0,,来了来了打卡,0,7,9,6732263133333136750
0,疏途同归.,来了来了,0,48,1,6732261052014635551
0,,[快乐]11111111111111111,6,49,8,6732261086156270153
0,,开心,5,46,1,6732261173934359529
0,momo,周深周深我来啦,0,46,5,6732267765161462302
0,,双北我来了,1,47,5,6732265204634630979
0,Somer,电信送的vip哈哈 贫穷,1,45,0,6732282134889220439
0,阿殷, 来看芳心纵火犯,0,45,2,6732283965915462749
0,,终于等到你，还好没有放弃,0,45,0,6732292442637743743
0,🍀🌻慧🌻🍀,钰钰我也在看呢,0,45,0,6732301659822817817
0,, 我才是第一,0,45,0,6732308968183896493
0,,喜欢,0,46,0,6732284038348252394
0,皇帝李升基、,徐律,0,49,3,6732274708415804359
0,,这个时长爱了爱了,0,46,1,6732520054400946128
0,,加油打工人！,0,45,0,6732635692666965650
0,,丞丞我来了！,0,45,1,6732637527275503132
0,,表白我何运晨！！！！！！！！！！！,5,48,18,6732661972157363004
0,凉意,加油，打工人,0,48,2,6732675383750229433
0,林深起雾时,福西西加油,0,48,1,6732871756298778262
0,,隔壁,0,46,0,6733172205971599517
0,,来了,0,48,0,6733607267552394721
0,,周深周深,0,49,0,6734341278487050951
0,,哈哈哈哈哈,0,49,0,6734837732716590253
0,,干饭鹅 : 第一个？,0,42,5,6732257015882031910
0,南方小亭,前排,1,42,1,6732257422460784395
0,万里,喜欢这么不准时,3,44,4,6732257876451196306
0,,我来啦,3,43,3,6732258601529259693
0,, 何运晨 谁还记着,0,44,30,6732261006128913658
0,,第一 第一,0,44,3,6732261450255107459
0,Lucky,爱啦爱啦,0,44,1,6732259778087032357
0,,周深深，我来咯,0,43,2,6732294647969232117
0,Archon20508,来看了,3,41,4,6732303962449880262
0,派大星🌟,好激动啊！,0,42,2,6732286706129763928
0,,哈哈哈，承包空屏丞丞，加油哟,0,41,3,6732285697441953929
0,,我爱康师傅[加油],0,41,2,6732310760582000099
0,,时长爱了,0,41,0,6732311915373539663
0,,时长感人呀,6,40,4,6732334103817294753
0,,撒老师我来了,0,44,1,6732486529852308298
0,,2个半小时好评啊,0,40,1,6732504969834071266
0,,这时长绝了,0,40,0,6732542810144621380
0,,啊啊啊啊啊啊丞哥我来啦,0,42,4,6732689929006466434
0,,来了来了 人类填数人来了,0,42,0,6732891480593206401
0,Ice Queen.,前方高能，真真真学霸王骁高能出场,0,43,7,6732859730123232842
0,pamper,王俊凯哇！！！！！,0,40,1,6733005595831935878
0,女(๑• . •๑)孩,来喽来喽范丞丞,0,43,0,6733209335599927297
0,皇帝李升基、,君合的傲慢和偏见,0,41,0,6733213850516573127
0,,福西西！！！！,0,44,0,6733233100660346790
0,,干啥啥不行，自卑第一名,0,40,0,6735148140463321558
0,,来看范丞丞 范丞丞,0,41,0,6743097893567581183
0,,王骁 来了来了,4,51,4,6732258940048354850
0,Aurora,我来啦,3,54,2,6732258995006280112
0,,就喜欢鹅的不准时,1,52,3,6732259078698449217
0,疏途同归.,综艺是个好综艺，可惜只有六分钟,0,51,7,6732261151327374048
0,,这个时长我喜欢 哈哈哈哈,0,54,6,6732261286371380149
0,。,刚开的会员,1,50,5,6732261361595200962
0,,加油,0,54,0,6732260628066933489
0,,CC,6,53,2,6732260076801213674
0,,来了来了，福西西,1,50,3,6732261812538380627
0,,Bgm都变了,0,52,3,6732263926631177532
0,Rejoice In Hope,客户端竟然没有及时更新，只能网页更新了,0,52,2,6732269093668795030
0,美好,来了,0,53,0,6732294195936506343
0,,周深深，我来咯,3,51,0,6732298716003728357
0,,来了来了,0,52,0,6732317119562097123
0,睦之月,深深大宝贝我来啦,0,50,2,6732320688934420098
0,,深深深深,0,54,2,6732523474095995852
0,,周深周深,0,54,0,6732685977685867164
0,, 来看芳心纵火犯,0,53,2,6732860692857634049
0,, 何运晨 谁还记着,0,50,5,6732957933912958442
0,张鑫, 我才是第一,0,51,0,6733189259999066609
0,🍋,来看细化的节目和丞丞,0,51,0,6736927517460375110
0,,双北我来了,0,53,0,6737608737184839336
0,一一,凡尔赛,0,52,0,6737942772448425146
0,醉心的消息,2个半小时， 看过瘾,0,50,0,6740017798576633149
0,,666,1,57,0,6732259109132319095
0,,哈哈哈哈哈哈,4,55,4,6732261031512841494
0,2,终于等到你,3,56,20,6732262063529771018
0,,来了，两个小时,4,58,9,6732262178394671504
0,,到王骁bgm都不一样了,0,57,38,6732263606026967919
0,,草哥的铁血战士们来了吗！,0,58,3,6732264593177431552
0,,来了，很喜欢这个精彩的节目,0,58,3,6732265651218971828
0,浮沉,翟同学就是传说中混了个洋文凭的人,4,59,19,6732266790115111842
0,宅边五柳,深勒个深啊，米来啦,0,56,5,6732274527986240038
0,哎呦喂@,范丞丞范丞丞范丞丞范丞丞范丞丞,0,57,6,6732340803398729241
0,抚剑丶凤凰,不要瞎说瞎想了。,0,57,3,6732485784768101266
0,Eleven,表白我何运晨！！！！！！！！！！！,0,59,5,6732866452070058666
0,攒一口袋星星,晚上好各位！,0,57,1,6732993854003413663
0,, 许光汉,0,57,0,6733356001451814294
0,,徐律,0,58,0,6734402782981458596
0,,自带BGM的蓝人,0,58,0,6744624679534919936
0,ベ☆小强呐,干啥啥不行，自卑第一名,6,31,3,6732470118354449323
0,,不准时真好,0,31,3,6732257767467450611
0,,进度条感人,4,30,5,6732257905660686494
0,,来啦！,1,34,1,6732257935423110645
0,,这个时长爱了爱了,3,32,6,6732259117521900136
0,,11,0,34,0,6732260811470995942
0,,终于播了,2,30,8,6732260903090680196
0,,第一[厉害],0,34,2,6732261145719545272
0,丸子头丶小招手.,为了这个综艺开会员,0,30,6,6732261592462276343
0,,嘻嘻,0,32,1,6732259726916567828
0,,前排,0,34,1,6732259816842445710
0,昭,第十四,0,34,0,6732259757428766736
0,小苏泡泡,测试一下,0,31,1,6732259519247186359
0,,来了来了来了来了来了来了,0,30,9,6732262552409148351
0,,深深,0,31,2,6732262968396290030
0,,提前了，老粉来了,0,32,1,6732268919325173646
0,,来了来了，会员抢先看都给我豪横点,0,32,10,6732293738656710365
0,.yinG,周深周深！！,5,33,3,6732299787292575313
0,,来了,0,30,0,6732304195178233383
0,,都是vip,0,33,0,6732288942852476812
0,,时长感人,0,31,0,6732284945957851328
0,,爱了时长,0,30,1,6732284658056365044
0,,这时长爱了,0,32,0,6732311931874908979
0,,王俊凯哇！！！！！,0,32,11,6732283268965088182
0,ღ,周深 周深,0,30,0,6732339888381950843
0,,这时长,0,32,0,6732432619076038409
0,,来了来了来了来了来了来了来了冲冲冲一个星期搓手手,0,32,0,6732461733735232173
0,,2个半小时好评啊,0,31,0,6732474749952392700
0,,来啦来啦,0,33,0,6732492026363189078
0,江江,丁辉冲呀,0,34,0,6732506891215375605
0,,来了来了,0,34,0,6732515234953022374
0,柒夏(*^ω^*),我爱时长,0,34,0,6732600208120116939
0,justin炜,考研的来看看,0,30,0,6732657309002485707
0,賏,哎呦，王俊凯代言的,0,33,5,6732929146667862986
0,゛谁说女人要斯文。,来看范丞丞 范丞丞,0,33,1,6733046751152293446
0,,时长很满意,0,31,0,6733705649566809349
0,,徐律 我来了,0,33,0,6733720473328354140
0,瘠薄、,来看深深了,0,31,0,6734839174458257410
0,,。,0,33,0,6742663064509941375
0,南方小亭,有,1,36,0,6732257914128970453
0,ISTBA,这就是前排的魅力吗？刚来就有了！！！~~,1,36,9,6732258368553426383
0,,加油，打工人,0,36,1,6732258561818610881
0,Wewewe, 提前啦,0,36,0,6732258558551248061
0,何小娇,喜欢不准时,0,36,0,6732258816260847585
0,,爱了爱了,2,35,4,6732258960541419459
0,,时长给力啊,0,35,3,6732259086827718777
0,hey,来啦,2,39,2,6732261189288652821
0,,来看了,0,39,3,6732260254086047099
0,,前排前排,0,36,0,6732260020056430467
