,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,来了,2,7,0,6739869635752509202
0,,第一吗,4,8,7,6739869759619711098
0,,来了来了,4,6,9,6739870146351317813
0,easy,第一,0,7,0,6739870172010706080
0,,干饭鹅 : 第二,2,9,18,6739870177225589611
0,,来啦,0,9,1,6739870193968940056
0,,来了来了来看郭律师,0,9,5,6739870235684795363
0,, 1,0,7,12,6739870965347887396
0,William.A,VIP都给我嚣张点,0,8,11,6739870923757132489
0,, 来了,0,6,14,6739870903322527868
0,凡客, 更新啦,0,6,5,6739871025468045719
0,,丞丞我来啦,1,7,8,6739871109980072491
0,,来咯来咯,0,6,1,6739871238031161928
0,胡黄他爹,大哥来了,0,6,2,6739871164799589525
0,, 第一第一,0,9,3,6739870617723934867
0,,我来了,0,7,8,6739870614526899656
0,t.,干饭鹅 : 来饿了,0,5,14,6739871859849330618
0,, 11111111,0,6,1,6739872050375586106
0,, 抢位,0,5,6,6739872486231573828
0,sususu,来了来了看周深了，想死你啦,0,6,6,6739870503643096531
0,大饼可以卷万物, 骁哥骁哥我来了！,0,9,7,6739875818174357304
0,, 第一,0,9,1,6739876701112120115
0,,厉害！,0,9,0,6739880100901351744
0,, 周深,0,7,3,6739885768668544968
0,,终于来了,0,6,1,6739886855991883091
0,喵~,冲鸭！！,0,8,6,6739887204795091295
0,,东风风光该喝喝观复嘟嘟是哒湿哒哒,6,5,9,6739893641264266614
0,束负 小 美,  丁辉给我冲！,0,9,4,6739909430936576291
0,想做缸里的猪猪米,深深，我来啦,2,7,3,6739913831667451375
0,D字一族,不是星期四吗 怎么快,0,8,5,6740031185944252146
0,童颜物语～儿童摄影18173058882,深深我来啦,4,7,1,6740058764298669716
0,,厉害,0,5,0,6740439787737950416
0,李娓东,什么时候,0,5,0,6740478642149850338
0,淡茶百味,嗯,0,8,1,6740547799068692318
0,,菲菲,0,8,0,6741391449640858379
0,",",时长我爱了,0,8,0,6741222081285309885
0,,心动的信号,0,8,0,6740976961076055644
0,,还可以,0,5,0,6742108897345511507
0,小只拿,冲啊,2,0,9,6739870059070682072
0,,cool,3,0,6,6739870140848079790
0,,第几,0,0,9,6739870177526575999
0,,有人唛,3,3,3,6739870216522015690
0,,来看丞丞,5,0,6,6739870898482301046
0,今天你背单词了吗,冲,1,2,2,6739871029155834279
0,Mr.Hans,压点出没,0,0,4,6739870869122128476
0,,来了，丁辉,5,0,4,6739871091532528163
0,Charon.,艾玛 来了我,5,4,10,6739870786259494867
0,,第一！！,4,0,2,6739871113381616702
0,,现在怎么掐得这么死？,0,0,3,6739870820462688563
0,活体非酋,打卡，嘻嘻嘻,0,4,4,6739871142737550447
0,,我看谁不发第一！,0,3,3,6739871500808158824
0,,过于准时，爱了爱了,0,2,8,6739871921137504243
0,,时长可,0,3,3,6739875825387241414
0, 心心心,没等到周深更博，先来看节目吧,0,2,10,6739878985044882807
0,🙃,丞丞来啦,0,3,2,6739881276167661447
0,烂人,1,0,4,2,6739889797361806420
0,,一晔知秋我来啦我来啦！,0,3,3,6739898922471815894
0,,q,0,4,1,6739908538132843437
0,,撒撒,0,4,1,6739921480512106574
0,,我,0,2,0,6739936970400084325
0,,哈哈哈哈哈哈,7,1,7,6739994506609271379
0,,牛逼,0,1,0,6739932025110164863
0,,时长感人,0,2,2,6740076950918208367
0,,兴民,0,1,0,6740101129469887003
0,,丁辉！冲！！,3,4,2,6740189730233062107
0,,额,0,4,0,6740249603837458776
0,墨言若雪,！,0,3,1,6740305994507033894
0,,～,0,1,0,6740293484231030861
0,,是我的,0,1,3,6740764661180988627
0,,123,0,2,0,6741192168153740539
0,,啦啦啦,0,1,0,6741379509116222097
0,格格巫,糖,0,1,0,6740949539895101637
0,,家,0,3,0,6742225223275759113
0,,好好,0,2,0,6742296360835852634
0,,好看,0,3,0,6746421574221939676
0,,第一第一,1,14,5,6739867794255574112
0,,来啦来啦。第一个,4,13,16,6739868598648904426
0,从xin、开始,我第一,6,12,8,6739868710477482275
0,,来了,0,12,3,6739869918700270014
0,,干饭鹅 : 来了来了,6,11,6,6739870089727902561
0,,就喜欢腾讯的不准时,4,10,10,6739870329633703163
0,小李你觉得好嘛,第一,0,12,2,6739870723960141944
0,,准时来了,0,12,2,6739870905237961174
0,, gogogo,0,14,0,6739870857986251331
0,v,厉害,0,11,0,6739870880978450324
0,于俞,第1233,0,10,6,6739870828311595004
0,,来了来了,5,10,1,6739871089888000844
0,文玉‘,看起来！,0,14,2,6739871155537590695
0,, 来喽,0,11,2,6739871159988456231
0,,+哇,0,10,1,6739871212630456861
0,, 来啦来啦,0,14,3,6739871230771841787
0,滑稽, 第一,0,11,4,6739870708777121606
0,,第一次那么前,0,14,0,6739871306793557414
0,,有人看嘛,0,14,1,6739871292888464042
0,佐佐洃, 冲冲冲,0,10,2,6739871600252267967
0,未眠,超时了超时了,0,11,4,6739872141266153944
0,, 终于更新了,0,12,4,6739872159108723208
0,, 来了,0,10,2,6739872130968777589
0,, 终于来了,0,13,6,6739872478978913123
0,, 等到了,0,13,3,6739872600438544321
0,柯琳妮尔一指私密,深我来了,0,11,2,6739872717181826390
0,mint,深深我来啦！,0,13,2,6739873058593994952
0,,厉害厉害👍,0,14,1,6739870546638906907
0,,第一个,0,10,3,6739874544841405235
0,Iris🌟,深深深深深深深深,0,14,3,6739878341874487892
0,Y🌈,2020.12.2   19：57在看,0,12,8,6739870262197683339
0,,电饭锅还不回信息才吃饭过分,6,12,4,6739893696503942937
0,,丁辉我来啦,0,11,2,6739895585232588659
0,,来啦来啦,0,13,1,6739900603469150486
0,洛克菲勒,梦开始的地方,1,13,2,6739906310705760595
0,,这时长舒服了,0,10,1,6739917141090701680
0,, 来饿了,0,11,0,6739933230818336724
0,,我来了,0,12,1,6740064719009413808
0,酒窝, 周深,0,13,0,6740064455537183286
0,,来了来了看周深了，想死你啦,0,13,0,6740250959790187106
0,想太多de猫,来了来了 找虐找动力,4,15,16,6739925333152299874
0,,来啦,3,16,0,6739867464463007954
0,Alicia,嗷嗷哦提前了！！！,3,19,16,6739868095071401123
0,Yu,大虾在不在,1,18,12,6739869258592320860
0,,前排,2,17,0,6739870031486063684
0,Baihe Z,西安 南二环中段报告,0,19,9,6739870222133994450
0,,nonono,0,17,7,6739870288282362958
0,, 我第一,0,18,3,6739870985508551283
0,, 第15,0,18,5,6739870903329552849
0,,终于等到了,0,18,2,6739871013551667891
0,, 卢文杰再看吗,0,17,3,6739871044066548663
0,刘怼怼🍆,1111111111111111111111,0,18,1,6739870857767171942
0,F-hawk,冲啊！！！,0,15,3,6739871101418142559
0,,咳咳，报道了,1,16,5,6739871115361364538
0,, 11111111冲,0,15,4,6739871105198574093
0,,来了来了来看郭律师,0,16,4,6739871240599051550
0,风,D,0,16,0,6739871282353384305
0,么了结,第一第一！！,0,19,4,6739871416860483198
0,,来了来了  开心,0,18,1,6739871511260707912
0,,准时到,0,17,0,6739871522413018765
0,, 找了半天终于找到第四期了,0,19,3,6739871896252698560
0,,深深我来了,0,16,0,6739872061565629165
0,, 新鲜度,0,19,4,6739872221231252312
0,, KUAIKUAIKAUI,0,17,2,6739872639105566313
0,tt, 来啦，哈哈哈哈哈哈哈哈哈,0,19,1,6739872762523228427
0,momo,周深周深我来啦,0,19,0,6739873198479231412
0,,丁辉,0,15,0,6739873237087799794
0,, 一点都不准时,0,17,0,6739874014552371166
0,,开始了开始了,0,18,0,6739875321395477474
0,, 冲冲冲,0,18,0,6739878133266321242
0,嘤嘤,来看凡尔赛落泪,0,16,2,6739880593397883374
0,@行星轨迹.,好厉害哦,0,17,0,6739870446147577184
0,, 告诉我，我是vip几,0,17,1,6739882494365471961
0,, 第一,0,15,0,6739886968957072960
0,Zfare,周深！来看你啦！,0,16,1,6739891745875066191
0,更木剑八,不准时,0,16,0,6739898813143087566
0,,丞丞我来了！,0,15,2,6739909331052065764
0,,哄哄你,0,19,1,6739909567058518595
0,赫贝勒,年轻人不讲武德,0,15,1,6740283521861434457
0,,高公知来了？,0,15,1,6740934472692602501
0,LuoZiJie,第一,1,26,2,6739867593622094356
0,,为丁辉打call来了,2,29,14,6739867939206869937
0,,深深我准时来看,5,27,6,6739871102966893247
0,,来了来了 今天早一点,5,28,3,6739871107270560273
0,,来看看新鲜的深深,0,29,3,6739871111786462070
0,某某, 太准时啦,0,29,2,6739870665693214232
0,洪荒少女~,來了,0,29,0,6739872510768555150
0,,来了来了,0,27,2,6739873199933634794
0,白与黑,来看王律了,1,28,7,6739873370869276068
0,爱吃荔枝的圆滚滚,来晚了 刚刚吃完饭,1,25,7,6739873484291645089
0,, 来了,0,26,7,6739875345602160998
0,糯米团子,来啦,0,25,0,6739876223285133618
0,,厉害,0,25,0,6739887139259393842
0,,深深深深深深深深深深深深深深,0,29,3,6739898981805399604
