,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,我来啦,5,15,7,6729722648314705381
0,,第一第一第一,2,19,10,6729722257447515130
0,,我第一？？,3,18,8,6729721882830112986
0,,来了来了来了,0,18,4,6729721660079281946
0,,范丞丞我来啦,0,15,3,6729721605532092273
0,,哈哈哈，让我蹲到了,0,18,8,6729723228232814514
0,,来啦来啦,2,16,6,6729723445208662960
0,,第一！,0,15,1,6729724196156844723
0,,那么早放了,2,17,12,6729724244399729398
0,安堂,深深深深深深,0,15,2,6729723922084205403
0,Claudia,突然发现我是前排,0,19,12,6729724756142566863
0,,丞丞丞丞丞丞丞丞丞丞丞丞丞丞,0,19,2,6729724789289846751
0,,来了,0,15,0,6729723582164959602
0,Coisíní,深深大宝贝,0,19,2,6729724915252474238
0,,期待范丞丞,0,15,7,6729725172544375311
0,,来看周深周深周深,0,15,2,6729725343436043338
0,,范丞丞,0,19,1,6729725044475763037
0,,打卡[加油][加油],0,18,0,6729726697547482467
0,岁月如歌,来看范丞丞,0,16,18,6729727993373465066
0,,范丞丞范丞丞范丞丞,0,17,1,6729728597356115718
0,,丞哥我来了,0,16,3,6729729189881608173
0,,周深深我来啦,0,19,1,6729730096786587552
0,,来了来了,0,15,1,6729730367156590445
0,,我来啦深深,0,17,9,6729730231893504088
0,,丞丞宝贝嘛嘛来了 比心,1,17,1,6729731414301013812
0,静R踏梦,老何，我来了,0,18,7,6729733453132574581
0,,来康深深啦,0,18,1,6729737250676350779
0,,范丞丞我来了,0,18,1,6729740011182728355
0,,范丞丞范丞丞,0,18,0,6729737706920191933
0,G.,范丞丞来啦！,0,17,2,6729750536998297398
0,美少女大佬,深深子,0,17,0,6729753204768621472
0,,[鸡腿]期待,0,19,0,6729753755069649794
0,,周深我来了,0,19,2,6729754658031999269
0,唔西迪西,范丞丞！！,0,16,0,6729767233141633104
0,ʚ圈圈ɞ,！！！第二季我来啦！！！！,0,17,0,6729767131664281942
0,,来了来了 期待已久,0,16,3,6729781334135469157
0,,"深深,我来了",0,16,0,6729794548211886675
