,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,第3！,2,4,5,6734794854623640448
0,,第一,0,4,3,6734795197076982151
0,J,来看郭涛律师了！！,4,1,12,6734795316010666550
0,哈哈,就喜欢不准时,2,0,10,6734795387561254167
0,,第一☝️,2,0,11,6734795391428402462
0,嘻嘻,来了，,0,0,23,6734795706559045371
0,,会员好寂寞,1,0,3,6734797603226549295
0,,小刘不错,3,0,3,6734797680906053205
0,,哈哈哈哈😂,2,0,1,6734797724816186165
0,min,来啦,0,0,0,6734797781095090711
0,O,有人吗,0,0,0,6734797854017562477
0,馳•陳,丁辉我来给你加油了！！！！,0,4,28,6734797821372283274
0,,周深,2,2,5,6734797376000129710
0,,来了来了,0,2,5,6734798642748042239
0,,来啦来啦,0,4,4,6734796053725826738
0,,。。。。。,0,2,7,6734798772552005830
0,,来了,0,1,1,6734828204311693066
0,,，,0,2,3,6734836294444631910
0,,好,0,2,0,6734839892585676383
0,我不是小胖子,来晚了,3,3,6,6734840052514847143
0,,睡醒了再来看,6,3,11,6734844257771133176
0,,。,0,2,0,6734846159107856069
0,,了,0,1,1,6734842251579683015
0,Derek,我,0,3,3,6734858637560751814
0,,哈哈,0,2,2,6734858688117881331
0,ι晴空ν,1,0,3,1,6734986593268387439
0,冷曦,哈哈哈,0,3,2,6735021703946241694
0,, 听说很气人我来看看,0,3,0,6735029636533038001
0,了然,看,0,3,0,6735082382530115502
0,,就喜欢腾讯的不守时,0,3,3,6734794922773694475
0,,丁辉，加油(ง •̀_•́)ง,0,4,4,6735112861694226766
0,,才吃,0,2,0,6736155034238089451
0,,1枚,0,4,0,6737556175349542920
0,清风一缕！！！！！,打卡,0,4,0,6734970814296738237
0,,唉,0,4,0,6738451852750736209
0,,666,0,1,0,6738861568500941823
0,,干饭鹅 : 来了,3,17,2,6734793747311296967
0,1,第一,4,19,0,6734794105172458780
0,,来早了都没人,1,18,8,6734794153356982187
0,许珈铭 Ella,就喜欢不准时！,4,16,17,6734795250860542426
0,,我来啦,0,17,0,6734795270179497862
0,, 来了啊啊啊啊啊啊,0,16,15,6734795355273546346
0,,来了来了[亲亲offer],0,17,9,6734795551180095307
0,,提前十分钟,0,17,3,6734795578484651312
0,, 深深我来啦,0,19,12,6734797874647986952
0,momo,周深，深深深深深深，我来啦,1,15,22,6734797621639526474
0,brove,我来了我来了,0,18,9,6734798005608062192
0,潘,嗨起来,0,19,2,6734797506779531183
0,,来了,0,19,0,6734797490560148770
0,请把花椒罚下场,这时长爱了,0,16,7,6734797405713537355
0,,  哈哈哈哈哈，来了来了,0,19,5,6734797331130459200
0,, 第一第一,0,15,2,6734797287782291600
0,,1111,0,15,1,6734796798982030348
0,, 我来啦！草哥,0,16,4,6734798599534088357
0,小燕子,前排,0,16,0,6734796047496974161
0,白桃子味汽水,哇哦。来了,0,18,6,6734796023702950134
0,lion666,来了来了,0,17,0,6734795424110454888
0,, 冰宝宝留言,0,18,5,6734799490093614217
0,大碗小碗同学,爷来了,0,16,1,6734800037717668051
0,,背背辉加油,0,16,0,6734799943888214359
0,,来了来了好喜欢不准时,0,15,1,6734805161676913191
0,,都是会员嚣张点,0,19,1,6734805180065753101
0,,lx，我又来了,0,19,0,6734824456625527942
0,,哈哈,0,16,0,6734830640483726633
0,,  来了来了,0,18,1,6734836263535440320
