,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,1,5,1,1,6744940600140264992
0,,来了,3,0,2,6744940996053203431
0,,第一！！！,5,3,5,6744941402171884432
0,,来了来了,4,0,8,6744942084638668088
0,,这个时长有点意思啊，以前基本两个半小时,2,0,29,6744942329321420990
0,,开心,4,0,3,6744942206836516164
0,,哈哈 人呢,5,0,1,6744942013172917081
0,,片头没有那两个新人,1,0,4,6744941972295193961
0,,前排期待,3,0,1,6744942685413997564
0,,😂什么神仙段子,0,0,1,6744942731896233399
0,Johnny,冲,4,4,3,6744944505242448252
0,,来啦！,2,3,1,6744943583482586279
0,一帆风顺141319,讲这些有什么用？,5,1,1,6745125721434420979
0,,好看,0,3,0,6745095431185953748
0,,下期丁辉做嘉宾。冲鸭,0,1,2,6745140539432645042
0,,哈哈哈哈哈哈,7,2,0,6745048086318970956
0,,哈哈,0,1,1,6745006326273217688
0,,了,0,4,0,6745192351012429452
0,,嘎嘎嘎,0,4,2,6745205422120440250
0,,阿巴,0,4,0,6745211288714464716
0,,追追追,0,2,1,6745251638937847169
0,,。,0,3,1,6745338653008134522
0,,来看yamy啦,0,3,2,6745532791246750307
0,渤海明珠,😲,6,1,0,6745696900410963650
0,,第二,5,6,1,6744940878982785040
0,,啦啦啦,1,7,6,6744940878482307545
0,,第一,3,5,4,6744940933788760388
0,,来啦啦咯,0,7,6,6744941131831212874
0,,3,0,6,1,6744941590370299656
0,小禎,來了來了來了,0,7,1,6744941644571930976
0,sunshine,哈哈哈哈哈，一点进来就是完整版，惊喜,0,7,7,6744941302137691725
0,,徐律好好看,0,7,0,6744942587285019684
0,bend over backwards,好早,2,8,0,6744943345002858659
0,,来了哈哈哈,1,9,10,6744944376767086460
0,,兄弟们冲鸭,0,7,1,6744944513867296717
0,,干饭鹅 : 前排,3,9,2,6744943053258634628
0,啦啦啦,准时,0,8,3,6744944632750645590
0,,前排7:57,0,5,5,6744942832391799500
0,➹۩;搁[浅，、、、,我现在来看的动力就是冲着骁哥干新来的男实习生,0,7,15,6744943814613903238
0,,我来啦,0,9,0,6744947062074748363
0,快乐的心, 129,0,8,1,6744948294125026813
0,,哦哦哦哦,0,5,5,6744950196817873149
0,,范丞丞范丞丞🍊🍊🍊🍊🍊🍊🍊🍊,0,9,4,6744965408535063827
0,,ohp,0,9,0,6744985961739350117
0,,来了冲冲冲,0,5,1,6745133987103522038
0,💋李小沫💋,来啦来啦来啦,0,7,0,6745027535639659385
0,,哈哈哈,0,9,0,6745149993485791843
0,童颜物语～儿童摄影18173058882,深深子我来晚啦,4,6,10,6745173065065811386
0,,突然想问，他们不录节目的时候在干嘛？哈哈,0,9,1,6745191687753235122
0,青玉微微,丁辉我来了,1,8,3,6745290685630581105
