,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,第一,3,0,12,6737331108120640323
0,Jeff,沙发,2,0,6,6737331394293824273
0,,就我一人，目前,1,0,29,6737331434408132136
0,,第一第一呀,5,0,16,6737331547210452576
0,中和众力生涯创始人,第一弹第一弹。,1,4,8,6737331574556606263
0,,来了来了,0,0,2,6737331935035718941
0,,真好,3,0,4,6737331968313668262
0,,就喜欢腾讯的不准时,0,0,3,6737331911107575658
0,rererebecca,这时长 爱了,0,0,5,6737332133767400854
0,九十,来啦,0,4,2,6737331900105555144
0,,来了来了，期更好久了,0,4,12,6737333327755415076
0,,1,0,4,0,6737334967665631153
0,小美呢,范丞丞我们来啦,0,4,5,6737336943723614050
0,,第一第一,7,3,9,6737336894084326195
0,,ph我来了,0,4,3,6737343511851629729
0,,好好好,0,4,1,6737351770604320966
0,DAYTOY贝,。,0,4,1,6737387916013088780
0,,滴,5,1,2,6737518105213470511
0,,喔呀zxm沫沫,0,3,10,6737580589223277173
0,,丁辉冲冲冲,0,1,4,6737593667210944980
0,,来咯,0,1,0,6737686448972527789
0,,来了,4,2,1,6737687721457237762
0, 心心心,来看深深！,0,3,2,6737710514651199454
0,,喔,0,3,0,6737982682405783647
0,,任兰兰，我知道你在看，对不起，你能回来吗,0,3,6,6738110339960307402
0,心愿,张思璇老师，您的学生被按头安利后来学习了,0,1,8,6738389242621398002
0,,打卡打卡,0,2,0,6739179684668914272
0,,e,0,3,1,6739185526839457880
0,,就在家啊,0,3,0,6739530123767377922
0,T-F 圈～,111,0,1,0,6742443904500006591
0,J,第一 J,4,15,12,6737330660324161423
0,,来了,6,19,0,6737330875379723751
0,,第二,5,19,2,6737330978965091478
0,,提前,5,17,3,6737330816885655498
0,🎈  我是田小田,来啦,4,18,0,6737331368108768646
0,siyizan,就喜欢你的不准时,0,15,12,6737331438989320843
0,星空,111,0,17,3,6737332272452062947
0,,来了来了,0,18,5,6737332562555284578
0,,爱了爱了,4,16,7,6737332946191457637
0,,终于来了，deng,0,15,5,6737334028274434026
0,G大调的旋律,就喜欢你不守时,0,19,12,6737334000748570904
0,kevin,沙发,0,18,0,6737334301412755157
0,Forever-Adam,来了！！！！,0,16,4,6737333646732535301
0,一蓑烟雨💦💦,hhaahhahaaha,0,15,5,6737333528531841186
0,,第一，来看我辉哥,0,17,12,6737333399570288338
0,欢乐马,来啦来啦,0,16,0,6737333266602762925
0,,第一第一,0,15,4,6737333163145067057
0,Onism🧸,我来看我的陆先生,0,15,4,6737335262406783112
0,,来啦 丁辉加油٩(͡๏̯͡๏)۶,0,16,4,6737335108274158029
0,,喜欢郭律,0,17,2,6737337199927767659
0,沙漏里的时光セソ,。来了来了,0,15,1,6737337629807192618
0,,我来啦周深,0,16,0,6737338638578945998
0,,小刘小刘 你最牛,0,17,7,6737338825296084811
0,,来啦来啦，深深我来啦,0,16,2,6737340536711522176
0,,打卡,0,19,0,6737341725904764064
0,,我,0,19,1,6737344905641136766
0,,来了。,0,17,2,6737346624957650051
0,,辉哥，我来了,0,17,3,6737350510435091822
0,,来啦~~~,0,18,4,6737351232685844859
0,歪熊,深深我来了我来了,0,15,0,6737355393669991764
0,,来看丞丞啦,0,17,1,6737355732389663589
0,剑来,周深周深周深[瑞思拜1][瑞思拜1][瑞思拜1][瑞思拜1],0,16,6,6737368291082777771
0,,丁辉加油,0,16,0,6737387536601518663
0,,这一届的实习生都好木讷啊，我的天啊,0,18,17,6737426032217269775
0,,时长nb,0,18,0,6737551365507320486
0,,我来了，我来了，我来了,0,19,6,6737574330844518723
0,欧欧,丁辉，我来了,0,19,8,6737398816716606167
0,楊,到底谁第一,0,18,2,6737653908211513147
0,,就喜欢这种不准时,0,18,1,6737667343184496113
0,,我来了！,0,19,0,6742773529785641044
0,握于手中，失于指缝,挥挥,1,29,0,6737330538403786938
0,,来了来了19:48,2,27,12,6737331385675532088
0,芋头菌,就喜欢鹅爹的不准时,0,29,9,6737331610083369956
0,NICE2CU,我就猜到了你的不准时！,1,26,19,6737332446192708451
0,HY210423,来了来了,3,25,5,6737332697087548227
0,Leo,丁辉丁辉,0,29,6,6737334171946480490
0,,小刘加油(ง •̀_•́)ง，冲啊,5,28,10,6737333977720829140
0,,来了呀,0,26,4,6737334469079365145
0,,果然不准时,0,28,0,6737333428779421463
0,,来了,2,25,0,6737333059411179284
0,,来啦,0,26,2,6737334576391326043
0,,辉哥我来啦,0,25,15,6737331782803796231
0,,这时长爱了,0,28,6,6737334929489076046
0,,来了来了来了,0,28,2,6737334926867669316
0,,李晋晔我来看你啦！！,0,26,6,6737358590626512715
0,L.,丁辉冲冲冲~~~,0,26,5,6737358814079068608
0,,丁辉,0,28,0,6737362245128755196
0,,🦀🦀🤙🤙🤙,0,26,0,6737363624554331920
0,笑忘书,是我来早了？,0,29,1,6737368162884584192
0,hdlq,这个时长就很爽,0,25,4,6737387782182250910
0,,来看丞丞啦,0,27,2,6737388540906676490
0,,Ll,0,25,0,6737388971845253679
0,,这么早,0,25,0,6737505354886136198
0,,[瑞思拜1][瑞思拜1][瑞思拜1][瑞思拜1][瑞思拜1]ok,0,25,2,6737420531949572645
0,,蹲到了,0,27,4,6737545736548971879
0,,小刘小刘 你最牛,0,29,2,6737548423396003492
0,哎呦喂@,范丞丞范丞丞范丞丞范丞丞范丞丞，我来看你啦,0,26,3,6737402615854253236
0,💞 Poppy 💞,深深  麻麻来了,0,26,1,6737569854498474407
0,,周深 我来啦 感谢你今晚贡献的第一百个舞台,0,29,3,6737400053787817661
0,,看深深,0,28,0,6737648882974960485
0,,周深周深！！！,0,29,1,6737658728557329561
0,,l,0,25,0,6737725447879554751
0,愿岁月静好,深深我来了,0,29,0,6737871011119824006
0,,秋怡,0,27,0,6738405238887620048
0,茜 婼龄,丞丞,0,27,0,6738470278520140570
0,半天晴,不准时真好,2,20,6,6737330173684941307
0,,等了一个星期终于来了！！,4,22,12,6737331342766438322
0,ling,不准时，你爱不爱,4,23,15,6737332329100323381
0,,就喜欢腾讯的不准时,5,21,11,6737331931550613393
0,浩瀚流星雨,和瀚雨哥一起看啦啦啦啦,0,22,6,6737333510068173671
0,,啦啦啦,0,22,2,6737335367856488562
0,L.,深深！来啦～,1,21,3,6737335714871522489
0,,这歌时长就很nice,0,23,8,6737337184971588054
0,star,时长太爱了,0,20,2,6737338638423756749
0,,来啦，老弟,0,22,3,6737340178564096978
0,,不准时太棒了,4,24,4,6737342567199255620
0,,来啦来啦，深深我来啦,6,24,3,6737343805688132863
0,Charlie_不喝水的鱼, 来了来了,0,22,0,6737370313883060835
0,,终于来了，deng,0,20,1,6737385856522456106
0,,就喜欢你的不准时,0,20,0,6737387528888193589
0,,来了！！！！,0,21,0,6737391084319047081
0,,😍,0,21,0,6737512813162954701
0,,深深小可爱,0,22,2,6737424626789884484
0,,辉哥我来看你了,0,20,0,6737411401977372484
0,,深深我来了我来了,0,20,2,6737580494986661234
0,,第一，来看我辉哥,0,22,1,6737582320909752374
0,,这一届的实习生都好木讷啊，我的天啊,0,24,2,6737590014148285491
0,MOVE,太狗了，点了好几次才给看正片,0,20,1,6737626163330611799
0,,就喜欢不守时,0,22,0,6737695462646065624
0,,周深我来了,0,24,0,6737705614785573221
0,,第一,0,23,0,6737731161008836363
0,,这时长真的爱了喔！！！,0,24,0,6737952841001369348
0,,爱了爱了,0,23,1,6737985137192500613
0,,喜欢鹅的不准时,0,21,0,6738055874822515353
0,,丞丞我来了,0,21,0,6738654916917052733
0,struggle゛for...me,哈哈😄,0,24,0,6738691559396976754
0,想太多de猫,每周三的精神食粮,4,5,13,6737372240376167344
0,,第一，来看我辉哥,2,9,27,6737330190050407368
0,Hilary,第一！深深我来啦,3,8,29,6737330375203763534
0,,鹅的不准时爱了爱了,0,9,8,6737331241377873005
0,,前排,0,8,1,6737332693526621585
0,,热乎的,0,8,10,6737334326746655760
0,找个富婆给我,几点更新呢,2,6,18,6737333742387528142
0,,时长感人,0,8,4,6737333821260722242
0,🧀,我就喜欢你的不准时,0,8,9,6737333470206824985
0,,2020年11月25日20:02:59,0,5,7,6737334765605078333
0,阿丙,来啦来来,0,5,4,6737333591581327480
0,,还有5秒到达战场,0,6,15,6737336333892782523
0,,  小周小周,0,8,5,6737337170290474222
0,,两个半小时。。。。,0,5,4,6737338223279225889
0,洛克菲勒,第一，第一,1,9,5,6737340051882178860
